	gisaid_epi_isl
93098	EPI_ISL_668761
93102	EPI_ISL_668762
93106	EPI_ISL_668763
93110	EPI_ISL_668596
93112	EPI_ISL_668581
93117	EPI_ISL_668764
93122	EPI_ISL_668595
93126	EPI_ISL_668559
93127	EPI_ISL_668765
93132	EPI_ISL_668522
93134	EPI_ISL_668766
93135	EPI_ISL_668572
93137	EPI_ISL_668558
93141	EPI_ISL_668850
93142	EPI_ISL_668738
93149	EPI_ISL_668767
93155	EPI_ISL_668562
93160	EPI_ISL_668768
93166	EPI_ISL_668563
93173	EPI_ISL_668769
93174	EPI_ISL_668502
93175	EPI_ISL_668744
93177	EPI_ISL_668770
93182	EPI_ISL_668771
