	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
285631	Netherlands/FR-RIVM-10575/2021	EPI_ISL_904676	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285632	Netherlands/FR-RIVM-10576/2021	EPI_ISL_904677	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285633	Netherlands/FR-RIVM-10577/2021	EPI_ISL_904770	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285634	Netherlands/FR-RIVM-10578/2021	EPI_ISL_904771	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285635	Netherlands/FR-RIVM-10579/2021	EPI_ISL_904678	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285636	Netherlands/FR-RIVM-10580/2021	EPI_ISL_904772	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285637	Netherlands/FR-RIVM-10581/2021	EPI_ISL_904773	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285638	Netherlands/FR-RIVM-10582/2021	EPI_ISL_904774	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285639	Netherlands/FR-RIVM-10583/2021	EPI_ISL_904775	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285640	Netherlands/FR-RIVM-10603/2021	EPI_ISL_904776	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285641	Netherlands/FR-RIVM-10604/2021	EPI_ISL_904777	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285642	Netherlands/FR-RIVM-10605/2021	EPI_ISL_904679	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285643	Netherlands/FR-RIVM-10620/2021	EPI_ISL_904680	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285644	Netherlands/FR-RIVM-10621/2021	EPI_ISL_904681	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285645	Netherlands/FR-RIVM-10622/2021	EPI_ISL_904778	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285646	Netherlands/FR-RIVM-10623/2021	EPI_ISL_904779	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285647	Netherlands/FR-RIVM-10624/2021	EPI_ISL_904682	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285648	Netherlands/FR-RIVM-10625/2021	EPI_ISL_904780	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285649	Netherlands/FR-RIVM-10766/2021	EPI_ISL_904659	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285650	Netherlands/FR-RIVM-10767/2021	EPI_ISL_904781	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285651	Netherlands/FR-RIVM-10782/2021	EPI_ISL_904782	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285652	Netherlands/FR-RIVM-10783/2021	EPI_ISL_904783	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
